ts,token_id,mid,best_bid,best_ask,spread,mid_diff1,mid_diff2,ma3,std3,label
1779791289167,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791290089,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791291087,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791292220,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791293099,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791294157,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791295081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791296094,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791297128,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791298281,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791299090,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791300110,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791301081,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791302083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791303095,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791304077,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791305079,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791306085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791307190,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791308111,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791309117,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791310083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791311083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791312104,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791313131,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791314080,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791315092,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791316100,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791317119,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791318097,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791319088,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791320091,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791321084,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791322136,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791323079,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791324076,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791325086,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791326130,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791327157,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791328181,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791329085,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791330083,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791331109,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791332082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791333102,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791334223,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791335145,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791336273,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791337089,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791338123,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791339089,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791340100,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791341082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791342106,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791343128,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791344151,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791345201,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791346098,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791347088,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791348121,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791349172,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791350095,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791351118,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791352319,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791353082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791354168,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791355082,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791356294,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791357112,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
1779791358185,35168502681023429477067370934115172120607397900706971138168146010778726500910,0.505,0.01,0.99,0.98,0.0,0.0,0.505,0.0,0
